,x,y,R_squared,Correlation
0,Observed Sales (All),Revenue By Quarter,0.5659382815488662,0.7522886956141679
1,Observed Sales (All % Change),Rev % Change,0.39544547493221543,-0.6288445554604217
2,Observed Transactions (All),Revenue By Quarter,0.6828221480501624,0.8263305319605239
3,Observed Transactions (All % Change),Rev % Change,0.01562818750374983,-0.1250127493648141
4,Observed Customers (All),Revenue By Quarter,0.681121634928683,0.8253009359795268
5,Observed Customers (All % Change),Rev % Change,0.016247542724700113,-0.12746584924873058
6,Sales per Customer (All),Revenue By Quarter,0.1384745411590274,0.37212167520721956
7,Sales per Customer (All % Change),Rev % Change,0.6097861630903214,-0.7808880605376941
8,Average Transaction Value (All),Revenue By Quarter,0.16420491007976115,0.40522205033754166
9,Average Transaction Value (All % Change),Rev % Change,0.6229195655917549,-0.7892525360059066
10,Transactions per Customer (All),Revenue By Quarter,0.34384680500387527,-0.5863845197512254
11,Transactions per Customer (All % Change),Rev % Change,0.0886354969653147,0.29771714254526005
12,Visits,Revenue By Quarter,0.3607357821620663,-0.6006128388255335
13,Unique Visitors,Revenue By Quarter,0.36311921749173653,-0.6025937416632673
14,Total Page Views,Revenue By Quarter,0.34974160533848025,-0.591389554641
15,Visits % Change,Rev % Change,0.5577670842456914,0.7468380575772042
16,Unique Visitors % Change,Rev % Change,0.6484016371760544,0.805233902152694
17,Total Page Views % Change,Rev % Change,0.1361645799521848,0.36900485085183476
